text,translated_text,locations
"بغض النظر عن الدلالات السياسية لزيارة #إسماعيل_هنية مخيم عين الحلوة اتيا من #تركيا ولقاء مع أمين عام #حزب_الله ... المشهد كارثة صحية في زمن #كورونا
#لبنان","Regardless of the political implications of the visit of # Ismail Haniyeh of Ain El-Helweh camp, coming from # Turkey, and a meeting with the Secretary-General of # Hezbollah ... the scene is a health disaster in the time of # Corona
#Lebanon",الحلوة | ين | الزيرة | سكارة | ين
"9 إصابات جديدة في #الخيام
https://bit.ly/2F9YERw
#كورونا #لبنان","9 new injuries in the tents
https://bit.ly/2F9YERw
# Corona # Lebanon",ابا | جديدة غزير
"""لسنا ننشد عالَماً لا يُقتَل فيه أحد؛ بل عالَماً لا يُمكن فيه تبرير القتل"" الفيلسوف والروائي الفرنسي #ألبير_كامو #Albert_Camus #التطبيع_خيانة #صباح_الخير #تويتر #الأردن #الكويت #فلسطين #كورونا #فيروس_كورونا #لبنان #يمين_يسار_يمين_يسار #coronavirus #COVID__19 #طفي_تلفونك_12_9","“We are not seeking a world in which no one is killed; rather, a world in which killing cannot be justified.” French philosopher and novelist",القتلبة | الرنسية | نا | الروائس | كور
"تشير المعلومات الى أن جريمة كفتون أنقذت لبنان من عمليات أمنية كانت ستستهدفه، وأن توقيف بعض عناصر المجموعة الارهابية وملاحقة مسؤوليها من شأنه ان يوقف نشاطها ويكشف مخططاتها، ويعيد الزخم للأجهزة الأمنية بعد تراخيها في زمن كورونا.
#لبنان
#كفتون
#صباح_الخير","Information indicates that the Kaftun crime saved Lebanon from security operations that were targeting it, and that arresting some members of the terrorist group and pursuing its officials would halt its activities, expose its plans, and restore momentum to the security services after their inaction at the time of Corona.
#Lebanon
#Cafton
#good morning",كفتون | المنية | البنا | يات | وق
"فينا نفهم ليش الخطوط الساخنة لوزارة الصحة ١٢١٤ و ٥٩٢٦٩٩-٧٦ ما بيجاوبوا على الاتصالات؟ الخط منظر بس او مفروض المريض يدبر راسوا بوقت في وباء ولازم تكون الوزارة بحالة تعبئة ٢٤/٢٤...
شكلنا صار في داعي للهلع.
@Hamad_hassan20
 @mophleb

#كورونا #كورونا_لبنان","We understand why the Ministry of Health hotlines 1214 and 76592699 Why do they answer the calls? The line is seen, but the patient is supposed to manage an order in time in an epidemic, and the ministry must be in a state of mobilization 24/24 ...
Our look has become a cause for panic.
@ Hamadhassan
 @mophleep

# Corona # Corona_Lebanon",المري | ينا | صارة | ولا | عين الصحة
"نتائج فحوص رحلات إضافية وصلت إلى #بيروت
https://nbntv.me/?p=259551
#كورونا_لبنان","Additional flight test results arrived in Beirut
https://nbntv.me/?p=259551
# Corona_Lebanon",حالات
"Keep Going!

#Lebanon  #LifeCoach #CBT #NLP #Mindfulness #Counseling #Hypnosis #Happiness #personaldevelopment #leadership #loveyourself #coronavirus #growth #purpose
#كورونا_لبنان #لبنان #صباح_الخير #كورونا #بيروت #السعودية
 #الإمارات #البحرين #الكويت #قطر #عمان #الأردن","Keep Going!

#Lebanon #LifeCoach #CBT #NLP #Mindfulness #Counseling #Hypnosis #Happiness #personaldevelopment #leadership #loveyourself #coronavirus #growth #purpose
# Corona_Lebanon # Lebanon # Good Morning # Corona # Beirut # Saudi Arabia
 # UAE # Bahrain # Kuwait # Qatar # Oman # Jordan",بيروت | السويدية | طر | البرجين | كور
"صباح انتصار الطبيعة .... مستمرون ... ثورة
#صباح_الخير
#كورونا
#لبنان
#لبنان__ينتفض
#كلن_يعني_كلن","Morning the victory of nature .... continuing ... revolution
#good morning
Corona
#Lebanon
#Lebanon__ rising up
#Clean_means_clean",صباحية | البقيعة | النصار | كور
"بعض الآمال قد تبددت.. هذا ما كشفته شركات الأدوية عن عقار كورونا
#لبنان_الجديد

https://bit.ly/358Rx6I","Some hopes have been dashed ... this is what the pharmaceutical companies revealed about the Corona drug
#New Lebanon

https://bit.ly/358Rx6I",ار | المصالي | الدوير
"Replying to
@ChangSara","Replying to
@ChangSara",
"#Corona #COVIDー19 Official Numbers in Lebanon till date:(New)
-Tests Done:567,851(9218)
-Confirmed Cases:20,038(531)
-Recovered:5,868(276)
-Death:187(4)
-Active Cases:13,983
-Hospitalized:373
-Moderate:268
-ICU:105
#كورونا #كورونا_لبنان #لبنان
 #StayAtHome
  #COVID2019 #COVID19","#Corona #COVIDー19 Official Numbers in Lebanon till date:(New)
-Tests Done:567,851(9218)
-Confirmed Cases:20,038(531)
-Recovered:5,868(276)
-Death:187(4)
-Active Cases:13,983
-Hospitalized:373
-Moderate:268
-ICU:105
#كورونا #كورونا_لبنان #لبنان
 #StayAtHome
  #COVID2019 #COVID19",
"Dashboard updated for 5 September #كورونا_لبنان #Lebanon #COVID19 / 554,290 total tests; 20,011 total cases; 531 new cases today; 13,956 active cases; 105 currently in ICU; 5,868 total recoveries; 187 total deaths.

For more details: http://tiny.cc/covidlebanon","Dashboard updated for 5 September #كورونا_لبنان #Lebanon #COVID19 / 554,290 total tests; 20,011 total cases; 531 new cases today; 13,956 active cases; 105 currently in ICU; 5,868 total recoveries; 187 total deaths.

For more details: http://tiny.cc/covidlebanon",ne
" #وزارة_الصحة #اللبنانية: تسجيل 531 اصابة جديدة بفيروس #كورونا و 4 وفيات خلال الـ 24 ساعة الاخيرة

#كورونا_لبنان
#لبنان","# Lebanese Ministry of Health: 531 new cases of Coronavirus and 4 deaths were recorded in the last 24 hours

# Corona_Lebanon
#Lebanon",يات | جديدة غزير | روس | عة | اللبنايا
"التقرير اليومي لفيروس كورونا ""كوفيد -19""
التاريخ: السبت 5 أيلول 2020
#حركة_أمل
#كورونا_لبنان
#خليك_بالبيت
#وطنك_بيتك
#كورونا","The daily report of the Coronavirus ""Covid-19""
Date: Saturday 5 September 2020
Hope movement
# Corona_Lebanon
#StayHome
Your home is your home
Corona",روس | كور | التامرية | القرعي
"وزارة الصحة تذكّر: الحجر حتمي لمخالطي الحالات الإيجابية طيلة فترة الحضانة
#كورونا
#لبنان_منكوب","The Ministry of Health reminds: Quarantine is imperative for those in contact with positive cases throughout the incubation period
Corona
Lebanon is afflicted",فترة | حالات | ارة | المطيلة | عين الصحة
"عدّاد كورونا في لبنان لا يزال مرتفعا.. ماذا عن الوفيات الجديدة؟
https://bit.ly/321DTR7
#LBCI #LBCINews #LBCILebanon
#كورونا #كورونا_لبنان","Corona's counter in Lebanon is still high ... What about the new deaths?
https://bit.ly/321DTR7
#LBCI #LBCINews #LBCILebanon
# Corona # Corona_Lebanon",إيزال | الغويات | البنا | كور | كور
ضلوا الزعماء يربّوا كلاب، (ميشان ال EGO) تإجا #فلاش و ربّاهن.. #نبض_تحت_الركام #كورونا #لبنان_ينتفض #كلن_يعني_كلن #لبنان #Lebanon #Beirut,"They have lost the leaders raising dogs, (Mission Al EGO) Tja # Flash and raise them .. # Pulse under the rubble # Corona # Lebanon_flash # Clen_means_Clain # Lebanon #Lebanon #Beirut",شان | جا | كور
"#Breaking: #Lebanon surpasses 20,000 #COVID19 cases after the Health Ministry confirms 531 new cases and four deaths. The total is now 20,021 and 187 deaths. #CoronaVirusUpdate #كورونا #كورونا_لبنان","#Breaking: #Lebanon surpasses 20,000 #COVID19 cases after the Health Ministry confirms 531 new cases and four deaths. The total is now 20,021 and 187 deaths. #CoronaVirusUpdate #كورونا #كورونا_لبنان",fouar | ne | كور
"COVID-19 daily report for Saturday, September 05, 2020:

531 new people tested positive for COVID-19 out of 9218 tests, distributed between 523 local residents and 8 returning expats, increasing the total number of cases to 20021. ⁧⁧#كورونا_لبنان","COVID-19 daily report for Saturday, September 05, 2020:

531 new people tested positive for COVID-19 out of 9218 tests, distributed between 523 local residents and 8 returning expats, increasing the total number of cases to 20021. ⁧⁧#كورونا_لبنان",dail | ne
#كورونا.. لبنان يسجل 4 وفيات و531 إصابة جديدة #العربية_عاجل https://alarabiya.net,# Corona .. Lebanon records 4 deaths and 531 new infections # Arab_Agent https://alarabiya.net,يات | البنا | جديدة غزير | كور
٥٣١ اصابة جديدة بفيروس كورونا رفعت العدد التراكمي ل ٢٠،٠٢١ اصابة و ٤ حالات وفاة جديدة #كورونا_لبنان,"531 new cases of Coronavirus, raising the cumulative number to 20,021 cases and 4 new deaths # Corona_Lebanon",حالات | جديدة غزير | روس | كور | جديدة غزير
"وزارة الصحة اللبنانية تعلن عن إرتفاع عدد الإصابات إلى 20011 بعد تسجيل 531 إصابات جديدة، 523 لمقيمين و 8 وافدين. عدد الفحوصات 9218 فحص.
#كورونا #لبنان #بيروت","The Lebanese Ministry of Health announces an increase in the number of injuries to 20011, after 531 new injuries were recorded, 523 residents and 8 expatriates. The number of examinations is 9218 examination.
# Corona # Lebanon # Beirut",بيروت | ارة | عين الصحة | اللبنايا | بعدران
إصابة حارس النجمة علي السبع بفيروس #كورونا_لبنان,"Najma goalkeeper Ali Al-Sabaa was infected with the Corona virus, Lebanon",درعلي | قلب السبع | ار | روس | الرنجة
"#عاجل | وزارة الصحة اللبنانية: تسجيل 4 وفيات و531 إصابة جديدة بفيروس #كورونا

#لبنان
#معاً_نعزل_كورونا","Urgent # | The Lebanese Ministry of Health: 4 deaths and 531 new cases of Coronavirus were recorded

#Lebanon
#Together_with_corona",ارة | يات | عين الصحة | اللبنايا | جديدة غزير
"#عاجل | وزارة الصحة اللبنانية: تسجيل 4 وفيات و531 إصابة جديدة بفيروس #كورونا

#لبنان
#معاً_نعزل_كورونا","Urgent # | The Lebanese Ministry of Health: 4 deaths and 531 new cases of Coronavirus were recorded

#Lebanon
#Together_with_corona",ارة | يات | عين الصحة | اللبنايا | جديدة غزير
"ارتفاع العدد الكلّي للمصابين بفيروس كورونا في القلمون الى ٤٨ اصابة بعد تسجيل حالة جديدة اليوم.
و استقر عدد حالات الشفاء على ٢٦ مع تسجيل وفاة واحدة ليكون العدد الكلّي للحالات الناشطة حتى الساعة في البلدة هو ٢١.
 سلامة قلب الجميع
#الوقاية_ثم_الوقاية_ثم_الوقاية #كورونا #لبنان","The total number of people infected with Coronavirus in Qalamoun increased to 48, after a new case was registered today.
The number of recovery cases stabilized at 26, with one death recorded, so that the total number of active cases up to the hour in the town is 21.
 Everyone's heart is safe
#Prevention_then_prevention_then_prevention #Corona #Lebanon",القلمون | حالات | حتى | كحالة | حالات
"ماذا فعل؟

#كورونا #كورونا_لبنان #لبنان #بيروت","what did he do?

# Corona # Corona_Lebanon # Lebanon # Beirut",بيروت | كور
"4 حالات إيجابية على متن رحلات وصلت الى بيروت... إليكم التفاصيل
#كورونا_لبنان #كورونا","4 positive cases on board flights that arrived in Beirut ... Here are the details
CoronaLebanon # Corona",حالات | بيروت | بية | حالات | كور
"حدا معو رقم وزير الداخلية ؟ و زير الصحة؟
#التعبئة_جلطتتني #كورونا_لبنان #وزير_الداخلية #وزير_الصحه #محمد_فهمي #حمد_حسن","An end with the Minister of Interior number? Minister of Health?
# Mobilization_Cartoon # Corona_Lebanon # Minister of Interior # Minister of Health # Muhammad_ Fahmy # Hamad_Hassan",غزير | حداثا | وز | حسن
#كورونا لبنان - اصابة رياضي شهير! - https://jebchit.com/article/39325,# Corona Lebanon - a famous athlete's injury! - https://jebchit.com/article/39325,البنا | كور
"وزارة الصحة تذكر بالإجراءات الواجب اعتمادها لمخالطي حالات كورونا
#لبنان
#كورونا","The Ministry of Health reminds of the procedures that must be adopted for contacts of Corona cases
#Lebanon
Corona",حالات | ارة | عين الصحة
"#كورونا_لبنان: أعلنت خلية متابعة أزمة كورونا في قضاء طرابلس، تسجيل 67 حالة إيجابية جديدة خلال الأربع والعشرين ساعة الماضية، موزعة على الشكل التالي: طرابلس 49، الميناء 9، البداوي 6، القلمون 3.
#CoronaVirusUpdate
#COVID_19
#coronalebanon","# Corona_Lebanon: The Corona Crisis Follow-up Cell in the Tripoli District announced the registration of 67 new positive cases during the past twenty-four hours, distributed as follows: Tripoli 49, Port 9, Beddawi 6, Qalamoun 3.
#CoronaVirusUpdate
# COVID_19
#coronalebanon",طرابلس | الميناء | البداوي | القلمون | طرابلس
#صباح_الخيرᅠ #c_h #نبض_تحت_الركام #بيروت #جبران_باسيل #زهرا #سد_بسري #صباح_الخير #غرد_لي_بالخير #كورونا #لبنان #لبنان_ينتفض #مصطفي_أديب #مساء_الخير #بس_هيك_عم_فكر_عالعالي #ايماني_فيك_كبير #بس_هيك #Lebanon #Beirut,# Good Morning ᅠ #c_h # Pulse Under the Rubble # Beirut # Gibran_Basil # Zahra # Bisri Dam # Good Morning # Good morning # Corona # Lebanon # Lebanon_free # Mustafa_Adeeb # Good evening #Bas_Hik_Am_Baseel #Libran_Enk #Bas_Hik_Am_Basil,بيروت | بسري | كور
"#Covid_19 #coronavirus #coronavirusuk #كورونا_الكويت #كورونا_الجديد #StayAtHome
  #StayHome
  #كورونا #كورونا_لبنان #art #digitalart #arts  #media #dubai #kuwait #UAE #design   #illustration  #الكويت #vectorart  #Vector    #فن   #graphics #doodle #StreetArt #games #illustrationart","# Covid_19 #coronavirus #coronavirusuk # Corona_Kuwait #New Corona #StayAtHome
  #StayHome
  # Corona # Corona_Lebanon #art #digitalart #arts #media #dubai #kuwait #UAE #design #illustration # Kuwait #vectorart #Vector # art #graphics #doodle #StreetArt #games #illustrationart",كور
"اجراء فحوصات pcr للعديد من الاشخاص المخالطين في بلدة الريحان الجنوبية من قبل مكتب الصحة في حركة امل بالتعاون مع جمعية الرسالة للاسعاف الصحي.

#حركة_أمل #مكتب_الصحة #جمعية_الرسالة_للإسعاف_الصحي #الريحان #كورونا #لبنان #وطنك_بيتك","Conducting pcr examinations for many people in contact in the southern town of Rehan by the Amal Movement Health Office in cooperation with the Resala Health Aid Society.

# Hope_Movement #Health_Office #AssociationAssociationAssociationHealth #Rehan # Corona #Lebanon # Your Homeland is Your Home",بلدة | الريحانة | ريحان | عية | علمات الجنوبية
#كورونا_لبنان مش مزحة,# Corona_Lebanon is not a joke,
"وهيك وضع اساتذة الرياضة السنة
#كورونا_لبنان","Here is the status of the teachers of sports year
# Corona_Lebanon",السفنتة | البياض
"جزء من مقدمة حوار الليلة:شهر على تفجير بيروت.
يمكنكم متابعة اللقاء الكامل عبر صفحتي الخاصة على انستغرام samia_khaddaj وقناتي الخاصة على Youtube.
#Covid_19 #تفجير_مرفأ_بيروت #٤_آب #لبنان_رح_يرجع #بيروت #لبنان #إنستغرام #كورونا_لبنان #لقاء_مباشر","Part of the introduction to tonight's dialogue: a month after the Beirut bombing
You can follow the full meeting on my Instagram page, samia_khaddaj, and my Youtube channel.
# Covid_19 # bombing_port_Beirut # 4_Ab #Lebanon_Rah_Return #Beirut #Lebanon #Instagram #Corona_Lebanon #Direct meeting",بيروت | عبرا | قنات | ار | الزلقا
"لبنان يسجل 4 وفيات و 527 اصابة جديدة بكورونا
https://assawsana.com/portal/pages.php?newsid=473594…
#السوسنة #كورونا #لبنان","Lebanon records 4 deaths and 527 new cases of Corona
https://assawsana.com/portal/pages.php?newsid=473594…
# Iris # Corona # Lebanon",يات | البنا | جديدة غزير | كور
"بالدكان كمان في احتمال لإنتقال الفايروس يعني بتخلوا الكمامة لما تكونوا جوا مش تشيلوها عالباب
نعتمد على وعي المواطن
اذا كان المواطن جحش، حمار ٣٧ حكومة ما بتعملوا بني آدم
 #وعي_المواطن #كورونا_لبنان","In the store there is also the possibility of transmitting the virus, I mean, give up the muzzle when you are in the air, you will not remove it in the door
We depend on citizen awareness
If the citizen is a colt, a donkey, 37 governments do not work with children of Adam
 Citizen awareness # Corona_Lebanon",علما | البني | الحمارة | يسوعية | الدكوانة
"التقرير اليومي لفيروس كورونا ""كوفيد -19""
التاريخ: الجمعة 4 أيلول 2020
#حركة_أمل
#كورونا_لبنان
#خليك_بالبيت
#وطنك_بيتك
#كورونا","The daily report of the Coronavirus ""Covid-19""
Date: Friday 4 September 2020
Hope movement
# Corona_Lebanon
#StayHome
Your home is your home
Corona",روس | كور | التامرية | القرعي
"#COVID19
#كورونا
#لبنان
#وعيك_امانه
ان الأفضل استخدام مرفق اليد عند السعال او العطس.","# COVID19
Corona
#Lebanon
#Safety
It is best to use the elbow when coughing or sneezing.",عندقت | عطس | السيد | العلالي
"أعلنت #وزارة_الصحة العامة تسجيل 4 حالات وفاة و527 اصابة جديدة بكورونا رفعت العدد التراكمي منذ ٢١ شباط الماضي الى 19490 حالة
#Covid_19 #كورونا_لبنان #كورونا","The Ministry of Public Health announced the registration of 4 deaths and 527 new cases in Corona, which raised the cumulative number since February 21 to 19,490 cases
# Covid_19 # Corona_Lebanon # Corona",حالات | العاملية | جديدة غزير | المضيق | كور
"بلدية بقسطا تسجل 13 حالة.. ولا إصابات جديدة في فنيدق
#كورونا_لبنان","Basta municipality records 13 cases ... and no new injuries in Fneideq
# Corona_Lebanon",بلدية | بقسطا | ولا | كحالة | ابا
"ارتفاع العدد الكلّي للمصابين بفيروس كورونا في القلمون الى ٤٧ اصابة بعد تسجيل ٧ حالات جديدة اليوم.
و استقر عدد حالات الشفاء على ٢٦ مع تسجيل وفاة واحدة ليكون العدد الكلّي للحالات الناشطة حتى الساعة في البلدة هو ٢٠.
 سلامة قلب الجميع
#الوقاية_ثم_الوقاية_ثم_الوقاية #كورونا #لبنان","The total number of people infected with Coronavirus in Qalamoun increased to 47, after 7 new cases were recorded today.
And the number of cured cases stabilized at 26, with one death recorded, so that the total number of active cases up to the hour in the town is 20.
 Everyone's heart is safe
#Prevention_then_prevention_then_prevention #Corona #Lebanon",القلمون | حالات | حالات | حتى | حالات
"تم تسجيل 254 حالات شفاء والإجمالي إرتفع إلى 5592.  تم تسجيل 24حالة وفاة والإجمالي ارتفع الى 183 حالة. عدد الاصابات الحالية في لبنان 13715 بينها 105 حالة حرجة
#كورونا  #لبنان #بيروت","254 recoveries were recorded, and the total rose to 5592. 24 deaths were recorded, and the total rose to 183 cases. The number of current injuries in Lebanon is 13,715, including 105 critical cases
# Corona # Lebanon # Beirut",حالات | بيروت | كحالة | كحالة | كحالة
#عاجل- #كورونا_لبنان- ما عدد الإصابات اليوم وكم حالة وفاة؟ #Annahar,# Urgent - # Corona_Lebanon - How many injuries today and how many deaths? #Annahar,كحالة | صاليم
"#COVID19 cases in #Lebanon increase by 527 and deaths by four. The total is now 19,490 with 183 deaths. #CoronaVirusUpdate #كورونا #كورونا_لبنان","#COVID19 cases in #Lebanon increase by 527 and deaths by four. The total is now 19,490 with 183 deaths. #CoronaVirusUpdate #كورونا #كورونا_لبنان",fouar | كور
"مستشفى الحريري: 80 إصابة جديدة و25 حالة حرجة
https://cutt.ly/tfbFLgR
#كورونا #لبنان","Hariri Hospital: 80 new cases and 25 critical cases
https://cutt.ly/tfbFLgR
# Corona # Lebanon",كحالة | الحيري | مستشفى الروم | جديدة غزير
"Friday, September 4 at 7:37 PM

254 new patients have fully recovered from COVID-19, increasing the total number of recoveries to 5592 and reducing active cases to 13715. #كورونا_لبنان","Friday, September 4 at 7:37 PM

254 new patients have fully recovered from COVID-19, increasing the total number of recoveries to 5592 and reducing active cases to 13715. #كورونا_لبنان",ne
