tweet,hashtags
احتمال تأجيل ماكرون لزيارته صار وارد، اكتشف انه الزعماء العظيمين يللي اجوا متل التلاميذ الشاطرين وقت استدعاهن ، هني مظبوط ولاد ورشين سرقوا كل الالعاب و كسروا المحل و قتلوا الموظفين و بعدن عم بفتشوا على العاب بين الجثث ، اكتشف انه ما في يبني بلد مع اولاد #انا_خط_احمر #لبنان_ينتفض,"['#انا_خط_احمر', '#لبنان_ينتفض']"
ما يسمى اخواتنا بالوطن يللي حتى انفجار نووي اطاح بنص بيروت ما اطاح بتبعيتهم العمياء لزعماء الفساد و الاسوأ انه بعد شوي رح يتهموا ضحايا الانفجار بالخيانة و العمالة ،هول كيف بدنا نتشارك وطن معهم ؟كيف بدنا نبني بلد خربوا هني قبل معلمينن ؟ كيف فينا نحملهم ؟ #انا_خط_احمر #لبنان_يتنفض,"['#انا_خط_احمر', '#لبنان_يتنفض']"
كان عندي تردد بقبول تهجم بعض الثوار  على نواب و وزراء بالمطاعم ،اليوم بقول من الواجب الوطني اذلالهم و تحقيرهم عند كل ظهور علني لاقصى الحدود ،لازم نوصلهم انه اولادهن يستحوا يكونوا معهم  .هيدول بيستاهلوا كل ذل قبل ما يتحاكموا بتهمة ازالة وطن #كلن_يعني_كلن #انا_خط_احمر #لبنان_ينتفض,"['#كلن_يعني_كلن', '#انا_خط_احمر', '#لبنان_ينتفض']"
كيف يعني جهاز امن الدولة كل شوي بسرب فيديو ،مرة للمعتقل بجريمة العصر يللي كسر صورة عون و مرة للتحقيق مع المنكل في زياد عيتاني غير تلفيق التهمة لزياد المعروف باخلاقه ووطنيته و بعد ما حدا حاسب هالجهاز غير بترقية الضابط يللي لفق التهمة ،غطاء سياسي بلا حدود #انا_خط_احمر #لبنان_ينتفض,"['#انا_خط_احمر', '#لبنان_ينتفض']"
يا ريت يللي فجروا نصف بيروت او يللي قتلوا ال ٣ شباب او يللي تسببوا باصابة محمد عطوي براسه كسروا صورة الرئيس عون على طريقهم كانوا صاروا بالحبس بعد ساعتين #انا_خط_احمر #كلن_يعني_كلن #لبنان_يتنفض,"['#انا_خط_احمر', '#كلن_يعني_كلن', '#لبنان_يتنفض']"
دخلكن هالتحقيق شو اخباره ؟ بكل دولة طبيعية فيها تحقيق طبيعي و قضاء طبيعي بكونوا استدعوا الوزير المسؤول و رؤساء الاجهزة الامنية المسؤولة تاني يوم ، عنا استدعوا موظفين مأمورين بس الآمر ما خصو #انا_خط_احمر #لبنان #انفجار_بيروت #لبنان_يتنفض #كلن_يعني_كلن,"['#انا_خط_احمر', '#لبنان', '#انفجار_بيروت', '#لبنان_يتنفض', '#كلن_يعني_كلن']"
محمد عطوي نجم الانصار و منتخب لبنان بكرة القدم بحالة حرجة بالمستشفى، بل بسبب مجموعة حيوانات قرروا يطلقوا النار خلال تشييع و تسببوا بتهديد حياة شخص آخر متل غيرهن من البهايم يللي قتلوا ناس قبل .هيدول لازم يتحاسبوا متل المجرمين تماما و يدانوا  بالقتل اضافة الى تصنيفهم من غير البشر . pic.twitter.com/whE1uYrLnm,[]
قد لا نشهد تشكيل حكومة قبل الانتخابات الاميركية ، فيما حزب الله مشغول بخطة استراتيجية اقليمية تتمثل برفع صور المتهم باغتيال الحريري سليم عياش في بعض المناطق لاستفزاز فئة كبيرة من اللبنانيين و تؤدي الى بعض الاشتباكات المسلحة #لبنان_ينتفض #كلن_يعني_كلن #بيروت #لبنان #انا_خط_احمر,"['#لبنان_ينتفض', '#كلن_يعني_كلن', '#بيروت', '#لبنان', '#انا_خط_احمر']"
هي كتير بسيطة ، و كتير واضحة ، و كتير مفهومة و حرية رأي و ما حدا خصو اصلا يرد . بحتقر كل حدا بعدو بيدعم و بدافع عن زعيم اي زعيم و ما في استثناء #انا_خط_احمر #لبنان #بيروت #كلن_يعني_كلن #لبنان_ينتفض,"['#انا_خط_احمر', '#لبنان', '#بيروت', '#كلن_يعني_كلن', '#لبنان_ينتفض']"
ما بقا يكفيهن انه شعبهم بيحتقرهن ، صاروا مغرومين باحتقار دولي . سلطة اخترعت درجات جديدة للسفالة #انا_خط_احمر #بيروت #لبنان #كلن_يعني_كلن #لبنان_ينتفض pic.twitter.com/oVkcoXm9e4,"['#انا_خط_احمر', '#بيروت', '#لبنان', '#كلن_يعني_كلن', '#لبنان_ينتفض']"
ضروري اجراء تحقيق حول بيع مساعدات ببعض السوبرماركت ، صورة تم نشرها تزعم بيع هالمساعدات بتعاونية الرمال بخلدة !!!#انا_خط_احمر #تفجير_بيروت #كلن_يعني_كلن #لبنان_ينتفض pic.twitter.com/jq3UhMzjS0,"['#انا_خط_احمر', '#تفجير_بيروت', '#كلن_يعني_كلن', '#لبنان_ينتفض']"
العمى قال هو مع حزب الله لأنهم ضد اسرائيل ، بس بالداخل هني عم بدافعوا عن الفساد و ما دخلو بأخطائهم !!!!!!!#انا_خط_احمر #بيروت #كلن_يعني_كلن #لبنان_ينتفض  https://www.facebook.com/100000714947147/posts/3666046953429100/?extid=kebPIBR5YPzh2HWI&d=n …,"['#انا_خط_احمر', '#بيروت', '#كلن_يعني_كلن', '#لبنان_ينتفض']"
السؤال : انتوا على استعداد للسلام مع اسرائيل؟ جواب ميشال عون : هيدا بيعتمد، عنا مشاكل مع اسرائيل لازم نحلها قبل . ردة فعل التيار الحر : ما سمعنا . ردة فعل حزب الله : الثوار عم يقبضوا من السفارات #انا_خط_احمر #انفجار_بيروت #بيروت #كلن_يعني_كلن #لبنان_ينتفض pic.twitter.com/BhVBCw3gFb,"['#انا_خط_احمر', '#انفجار_بيروت', '#بيروت', '#كلن_يعني_كلن', '#لبنان_ينتفض']"
اكبر اذلال و احتقار لطبقة سياسية بالتاريخ صارت بعد انفجار المرفأ. مجتمع دولي عم يرسل مساعدات مباشرة للشعب مؤكدا السلطة عندها من السفالة انه تسرق مساعدات شعب منكوب،و شعب نظم نفسه بساعات و عم بقوم بكامل عمليات الاغاثة بغياب كامل للدولة .وبعدهن على الكراسي #انا_خط_احمر #لبنان_ينتفض,"['#انا_خط_احمر', '#لبنان_ينتفض']"
١١ مليون دولار بحملة تبرع من الهولنديين الى لبنان . بس خلينا ما ننسى التوجه شرقا #انا_خط_احمر #تفجير_بيروت #كلن_يعني_كلن #لبنان_ينتفض https://twitter.com/HesterSomsen/status/1294517811771998208 …,"['#انا_خط_احمر', '#تفجير_بيروت', '#كلن_يعني_كلن', '#لبنان_ينتفض']"
سيد بنتشكرك انك هددتنا بحرب اهلية و انه يفلتوا علينا الشباب علينا بس لخبرك على موضوع انه عم نقبض من السفارات ، يمكن الشباب يللي حولك ما عم خبروك بس في كتير وطنيين بلبنان بضحوا كرمال بلدهم ، مش كل ما واحد ما اتفق معكن بكون خائن #انا_خط_احمر #انفجار_مرفأ_بيروت #لبنان_ينتفض,"['#انا_خط_احمر', '#انفجار_مرفأ_بيروت', '#لبنان_ينتفض']"
هيدا خطاب فاق كل التوقعات ، عالم آخر ، كوكب آخر ، انعدام الادراك للمحيط، مستشارين محدودين . يا سيد خاطب كل لبنان ،كل اللبنانيين، مش بس محيطك و صدقني محيطك صار اصغر بكتير . خياراتكن من سنوات لليوم ادت لانهيار البلد و انتوا الحاكم المطلق . الشباب كانوا عم بهاجروا صاروا عم ينقتلوا .,[]
بيروت ما بتستاهل من نوابها اجتماع طارئ؟ موقف رجولي؟ معركة ؟ تضحية ؟ تخلي عن التنازل السياسي كرمال دم ولادها ؟ نصف بيروت تدمر و بلديتها مختفية و هي اغنى بلدية بلبنان . بيروت يتيمة بسبب خياراتنا الغبية انشالله نكون وعينا #انا_خط_احمر #بيروت  #تفجير_بيروت #كلن_يعني_كلن #لبنان_ينتفض,"['#انا_خط_احمر', '#بيروت', '#تفجير_بيروت', '#كلن_يعني_كلن', '#لبنان_ينتفض']"
كل المعلومات عم بتأكد انه المعبر ١١ و ١٢ مش تحت ادارة الدولة اللبنانية . مين بديرها و مين بخزن فيها و شو بصير بالليالي ، القوى الامنية وحدها بتعرف #انا_خط_احمر #انفجار_مرفأ_بيروت #لبنان_تحت_الاحتلال #بيروت #كلن_يعني_كلن #لبنان_يتنفض,"['#انا_خط_احمر', '#انفجار_مرفأ_بيروت', '#لبنان_تحت_الاحتلال', '#بيروت', '#كلن_يعني_كلن', '#لبنان_يتنفض']"
بعدني ناطر الشرقا ، يللي طلب منا سماحته نروح لعندو لانقاذنا ، شكلهم بعاد كتير ما وصلوا بعد .,[]
كل حكومات الوحدة الوطنية فشلت ، كل محاولات الحكومات الحزبية من لون واحد فشلت ، حكومة الدمى متل حسان دياب فشلت ، و كل صاحب قرار ساهم بالنهيار وصولا لجريمة المرفأ ، الحل للمرة الالف بحكومة مستقلة من اختصاصيين لانقاذ البلاد بس ما بدهم يفهموا #انا_خط_احمر #بيروت #لبنان_ينتفض,"['#انا_خط_احمر', '#بيروت', '#لبنان_ينتفض']"
محاولات مجموعات الثورة للتوحد خلف مطالب واضحة تسبقها باشواط محاولات السلطة للتحالف مجددا لاستعادة المبادرة .الفارق انهم محنكون في الفساد و الجريمة و الثوار يسابقون الوقت #انا_خط_احمر #بيروت #علقوا_المشانق #كلن_يعني_كلن #لبنان_ينتفض,"['#انا_خط_احمر', '#بيروت', '#علقوا_المشانق', '#كلن_يعني_كلن', '#لبنان_ينتفض']"
جلسة مسائلة الحكومة ما تم طلبها بسبب الانفجار بل عقوبة لحسان دياب على طلب الانتخابات المبكرة ، و الحكومة ما استقالت بسبب الانفجار بل بسبب جلسة المسائلة .قمة العهر #انا_خط_احمر #بيروت #لبنان_ينتفض,"['#انا_خط_احمر', '#بيروت', '#لبنان_ينتفض']"
مقابلتي على ال lbc      https://m.facebook.com/story.php?story_fbid=299164964841451&id=111398440284772 …,[]
الحكومة دمية ، يللي بحركها هو نفسه ، الايد هي نفسها ، الاستقالة لا بتزيد و لا بتنقص ، ازاحة السلطة الحل الوحيد #انا_خط_احمر #انفجار_بيروت #علقوا_المشانق #كلن_يعني_كلن #لبنان_ينتفض,"['#انا_خط_احمر', '#انفجار_بيروت', '#علقوا_المشانق', '#كلن_يعني_كلن', '#لبنان_ينتفض']"
في اكتر من عشرين جسر جوي غربا و عربيا لارسال المساعدات الى لبنان ، شو بخصوص الشرقا يللي كنا عم بنموت لنروح لعندهم و يعيشونا بالجنة  حسب اخواننا بالممانعة #انا_خط_احمر #بيروت #بيروت_منكوبة #علقوا_المشانق #لبنان_ينتفض,"['#انا_خط_احمر', '#بيروت', '#بيروت_منكوبة', '#علقوا_المشانق', '#لبنان_ينتفض']"
قرار حزب الله و التيار الحر بمواجهة رغبة الشعب  و حاجة البلد  لحكومة افاعلة مش دمى احزاب اهدر سبعة اشهر من عمرنا باكتر مرحلة حساسة بتاريخ البلاد .انتوا مسؤولين عن الانهيار منل يللي شاركوكن الحكم بس بوقت كان لازم تبلش عملية الانقاذ بعد سقوط حكومة الحريري اغرقتوا البلد بالكامل.,[]
حاسس حالي بفيلم مخرجه قوي لدرجة انه كل ما بنفكر انه خلص بفاجئنا بنهاية مأساوية اكتر و بعده ما خلص .,[]
نعم,[]
العمى طلعت ديما جمالي اوعى من كل كتلة المستقبل #انا_خط_احمر #بيروت #تفجير_بيروت #علقوا_المشانق #كلن_يعني_كلن #لبنان_ينتفض,"['#انا_خط_احمر', '#بيروت', '#تفجير_بيروت', '#علقوا_المشانق', '#كلن_يعني_كلن', '#لبنان_ينتفض']"
ابطال... بوقت احياء من بيروت تدمرت بسبب اجرام كل السلطة و الالاف بين قتيل و جريح قدروا القوى الامنية الشريقة يعتقلوا مين بيعتقدوا كسر صورة شخص مين ما كان يكون . عبيد الصورة قتلوا شعب و اليوم عم يمشوا بجنازته .. #انا_خط_احمر #انفجار_بيروت #علقوا_المشانق #كلن_يعني_كلن #لبنان_ينتفض pic.twitter.com/NYqsIdUvq0,"['#انا_خط_احمر', '#انفجار_بيروت', '#علقوا_المشانق', '#كلن_يعني_كلن', '#لبنان_ينتفض']"
البديل خشبة ، اكيد بتشتغل اكتر منكن و اكيد عندها ضمير اكتر بكتير منكن #انا_خط_احمر #انفجار_بيروت #علقوا_المشانق #كلن_يعني_كلن #لبنان_يتنفض pic.twitter.com/JuQ3TzltcG,"['#انا_خط_احمر', '#انفجار_بيروت', '#علقوا_المشانق', '#كلن_يعني_كلن', '#لبنان_يتنفض']"
 pic.twitter.com/OZGYO4Fdfj,[]
دخوا الثوار الى وزارة الخارجية pic.twitter.com/0PKT2Xe7r7,[]
#علقوا_المشانق pic.twitter.com/37j8AixQ9H,['#علقوا_المشانق']
يا شعب قوم على السفلة يللي حاكمينك https://www.facebook.com/rodolph.haddad.r/videos/3406637196063906/ …,[]
رئيس جمهوريتنا كان يعرف انه في مواد متفجرة ، و كان في يحمي الآف الناس، و كان في يوقف تدمير بيروت ، بس ما كانت من صلاحياته #انا_خط_احمر #انفجار_بيروت #بيروت_منكوبة #علقوا_المشانق #لبنان_يتنفض,"['#انا_خط_احمر', '#انفجار_بيروت', '#بيروت_منكوبة', '#علقوا_المشانق', '#لبنان_يتنفض']"
السلطة الحقيرة ،المسؤولين السافلين المحرمين ،ارتكبوا جريمتهم و تركوا الشعب لوحدو ،لا هيئة اغاثة ،لا وزارات ، لا جيش، ما في مسؤول عم بيساعد او يهتم .احقر بشر انتوا ،حتى مش بشر من اساسه .انتوا لازم يتم تعذيبكن قبل شنقكن #انا_خط_احمر #انفجار_بيروت #بيروت #علقوا_المشانق #لبنان_ينتفض,"['#انا_خط_احمر', '#انفجار_بيروت', '#بيروت', '#علقوا_المشانق', '#لبنان_ينتفض']"
من اليوم و رايح يا معنا يا عدونا و هيدا بيشمل الكل بدون استثناء #انا_خط_احمر #انفجار_المرفأ #انفجار_بيروت #بيروت #بيروت_منكوبة #علقوا_المشانق #لبنان_يتنفض #,"['#انا_خط_احمر', '#انفجار_المرفأ', '#انفجار_بيروت', '#بيروت', '#بيروت_منكوبة', '#علقوا_المشانق', '#لبنان_يتنفض']"
كل الهيئات الدولية يللي عم بتساعد بلبنان عم تشكي من غياب اي تنسيق مع الدولة اللبنانية ، ولا منسق او اهتمام مما اضطر مكتب الUN لتولي العمليات اللوجستية بنفسه . غياب الاموال المباشرة ادى لغياب كامل لمسؤولي الدولة يللي تعودوا على سرقة هالاموال #بيروت_عم_تبكي #دعم_لبنان #أنا_خط_أحمر,"['#بيروت_عم_تبكي', '#دعم_لبنان', '#أنا_خط_أحمر']"
اليوم ما في مطلب الا ازاحة السلطة بكاملها بكرا استعادة الساحات ثم استعادة وطن,[]
 pic.twitter.com/ePMD1Av9UQ,[]
ادعو ترايسي شمعون للانضمام غدا الى الثورة ، نحن بحاجة لقادة من هذا النوع #صار_الوقت #أنا_خط_أحمر,"['#صار_الوقت', '#أنا_خط_أحمر']"
تريسي شمعون تستقيل من عملها كسفيرة للبنان في الاردن ، يا ريت هالضمير بنشوفه عند باقي البلا ضمير #انفجار_مرفأ_بيروت #انا_خط_احمر #لبنان_ينتفض,"['#انفجار_مرفأ_بيروت', '#انا_خط_احمر', '#لبنان_ينتفض']"
اسمع من ماكرون افضل خطاب وطني منذ سنوات طويلة ، لو امتلكوا بعض من وطنيتك اتجاه لينان لكنا في افضل حال ، لو امتلكتم القليل القليل من الخجل لرحلتم اليوم بعد خطابه . قال ماكرون ان المجتمع الدولي يحتقركم #ماكرون #انا_خط_احمر #بيروت #تفجير_بيروت #كلن_يعني_كلن #لبنان_ينتفض,"['#ماكرون', '#انا_خط_احمر', '#بيروت', '#تفجير_بيروت', '#كلن_يعني_كلن', '#لبنان_ينتفض']"
السبت يوم آخر ، الشعب هو الحل، الشعب هو القرار ، الشعب هو الثورة ، الشغب غاضب و ثورة للآخر و البداية السبت #انا_خط_احمر #انفجار_بيروت #علقوا_المشانق #كلن_يعني_كلن #لبنان_ينتفض,"['#انا_خط_احمر', '#انفجار_بيروت', '#علقوا_المشانق', '#كلن_يعني_كلن', '#لبنان_ينتفض']"
الرئيس ماكرون من الجميزة : انها بداية حقبة جديدة #انا_خط_احمر #انفجار_بيروت #بيروت_منكوبة #علقوا_المشانق #كلن_يعني_كلن #لبنان_ينتفض,"['#انا_خط_احمر', '#انفجار_بيروت', '#بيروت_منكوبة', '#علقوا_المشانق', '#كلن_يعني_كلن', '#لبنان_ينتفض']"
الرئيس الفرنسي في الجميزة يستمع للشعب و الرئيس اللبناني في بعبدا يستمع لجبران باسيل #انا_خط_احمر #انفجار_بيروت #علقوا_المشانق #كلن_يعني_كلن #لبنان_ينتفض,"['#انا_خط_احمر', '#انفجار_بيروت', '#علقوا_المشانق', '#كلن_يعني_كلن', '#لبنان_ينتفض']"
بس بدي افهم شو شعور نواب بيروت و رئيس الكتلة سعد الحريري و باقي نواب العاصمة و رئيس و اعضاء بلدية بيروت و المحافظ و وزير الداخلية انه ما قدروا ينزلوا على الطرقات المنكوبة عارفين انه الشعب يللي عم بنظف شوارعه بمكانس البيوت رح يصب غضبه عليهم؟ ما فكروا اقله يستقيلوا ؟#انا_خط_احمر,['#انا_خط_احمر']
اما ان نقوم كثوار و نزلزل #لبنان و نهزهم في عروشهم و نستعيد بلادنا من طغمة الفساد القتلة اما فلنصمت الى الابد و نعيش الذل . خياران لا ثالث لهما #انا_خط_احمر #بيروت #انفجار_بيروت #Beirut #تفجير_بيروت #كلن_يعني_كلن #لبنان_ينتفض #علقوا_المشانق,"['#لبنان', '#انا_خط_احمر', '#بيروت', '#انفجار_بيروت', '#beirut', '#تفجير_بيروت', '#كلن_يعني_كلن', '#لبنان_ينتفض', '#علقوا_المشانق']"
آلاف المتطوعين و المتطوعات ملأوا شوارع المناطق المنكوبة بشكل ذاتي يفتشون عن المفقودين، يزيحون الركام ، ينظفون يوزعون الطعام و غياب كامل لأي من مؤسسات الدولة. لا حاجة لفسادكم ندير انفسنا ببراعة و نبني بلدا هدمتوه #لبنان_منكوب #انا_خط_احمر #علقوا_المشانق #كلن_يعني_كلن #لبنان_ينتفض pic.twitter.com/pOKN0ja5rw,"['#لبنان_منكوب', '#انا_خط_احمر', '#علقوا_المشانق', '#كلن_يعني_كلن', '#لبنان_ينتفض']"
١٢٨ و ٢٠ و٣ لن نقبل سوى باستقالتكم اليوم . كل من يبقى مجرم . و نقطة على السطر #انفجار_بيروت #بيروت_منكوبة #انا_خط_احمر #علقوا_المشانق #بيروت #لبنان_ينتفض,"['#انفجار_بيروت', '#بيروت_منكوبة', '#انا_خط_احمر', '#علقوا_المشانق', '#بيروت', '#لبنان_ينتفض']"
