Lebanese,English
adiim,old
adiime,old
adeem,old
adeeme,old
ae5er,last
ae5er shi,last thing
ahbal,stupid
habla,stupid
ai akiid,yes indeed
ai meta,when
aimtan,when
ai shou lakaen,No doubt Sure thing
akel,food
akiid,definitely
akeed,definitely
almaani,German
almaaniiyi,German
amercaeni,American
amercaeniiyi,American
amiir,prince
an7as shi,the worst thing
ana 7orr,I am free
7orra,I am free
ana baddi pliiz,I want please
anglais,english
annini,bottle
anninit maai,bottle of water
aou,or
aw,or
asad,lion
asfar,yellow
safra,yellow
aswad,black
sawda,black
autostrade,highway
awalak,You think
awalik,You think
azra2,blue
zar2a,blue
b,at
bi,at
bel,at
3a,at
3al,at
ba2ara,cow
ba3d,after
ba3d bakiir,Its Early
ba3d elaw2aet,sometimes
ba3daiin,later
ba5iil,cheap
ba5iili,cheap
ba7r,sea
baba,father
badli,suit
baeb,door
baida,egg
baiit,house
beit,house
bakiir,early
barra,out
bas,enough
bas lel-asaf,unfortunately
baset,fun
bataata,potatos
batii2,slow
batii2a,slow
be3iid,far
b3eed,far
bebai,baby
bedae5el,inside
beddu yekoun,it must be
bedoun,without
bel2a5as,in particular
bel5aerej,outside
bela5as,especially
belaed,country
belbaiit,at home
belfe3l,indeed
bellail,at night
belmediini,in the city
belteslii7,undergoing repair
benaiiyi,building
benni,brown
bent,girl
benziin,gasoline
beraad,fridge
barrad,fridge
berdaiyi,curtain
bernaemj,program
bernaita,hat
belzabet,precisely
bi2orb,near
bi5esous,concerning
bicyclette,bicycle
biira,beer
biitaa2a,card
belmasa,in the evening
bisi,cat
bessi,cat
bizabet,exactly
boia,paint
bonjour,Good day
bot,shoe
botaat,shoes
boukra,tomorrow
bravo 3aliik,excellent for you
3aliiki,excellent for you
bravo,excellent
briitaani,British
briitaaniiyi,British
bus,bus
autobus,bus
cadeau,gift
canadiaeni,Canadaian
canadiaeniiyi,Canadaian
chapeau,hat
chemise,shirt
chocolat,chocolate
cinema,cinema
computer,computer
cravate,tie
da2,called
da2ait,called
da3iif,weak
da3iifi,weak
dahab,gold
dahabi,gold
dahabiiyi,gold
daher,back
dahra,outing
daiiman,always
darrouri,necessary
darrouriiyi,necessary
daw,light
dawwer,switch on
dawwri,switch on
de5aen,smoke
dekaen,supermarket
derous,studies
dii3aiyaat,commercials
dii3aiyi,commercial
diin,religion
doctoor,doctor
dod,against
douche,shower
e7timael,a possiblity
ebin,son
ektiiraa7,proposal
el,the
e,the
el3aalam,the people
el3aalm,the people
el3aili,the family
el5ariif,autumn
elaa5ariin,the others
elawal,first
elensaen,the human being
elhaii2a,it seems to be
elkel,everyone
ella,except
el mustahlek,consumer
elwaa7ad,a person
elyoum,today
embare7,yesterday
embiid,wine
enaes,the people
enak,you are
enik,you are
ennu,that
eraadio,the radio
erabii3,spring
esae3a,the time
esaiif,summer
esbou3,week
eshams,the sun
esheti,winter
esm,name
esobo7,the morning
espaani,Spanish
espaaniiyi,Spanish
estaez,teacher
estaezi,teacher
estishfa,medical aid
eta2es,the weather
etaelyi,the following
etala3,look
etala3i,look
etii7aen,exam
eza 8aiir zaelk,if otherwise
ezaaher,it appears to be
fa2iir,poor
fa2iira,poor
faadi,empty
faadiiyi,empty
faete7,bright
faj2a,suddenly
faraashi,moth
fedda,silver
feddi,silver
feddiiyi,silver
fehemt,understand
fehemti kiif,understand how
fersa,chance
fewaeki,fruit
fi,there is
fi 5edmt,there is a service
fi e7timael,its possible
fi,in
fi7aal,in case
fikol 7aal,anyway
fikra,idea
fistaan,dress
fo2,above
fourran,immediately
fowran,immediately
frata,change
frensaewi,French
frensaewiiyi,French
garson,waiter
gateau,cake
gateau 3achocolat,chocolate cake
gateau 3ajazar,carrort cake
gateau 3atefae7,apple cake
habibi,darling
habibti,darling
hadaf,goal
haiin,easy
hayen,easy
hal2,now
halla2,now
7o2ou2,rights
hon,here
hounik,over there
jaar,nieghbor
jaara,nieghbor
jamae3a,group
jamhour,audience
jamiil,beautiful
jamiili,beautiful
janaini,garden
jaquette,jacket
jaget,jacket
jariidi,newspaper
jaride,newspaper
jawaeb,an answer
jazara,carrot
jebael,mountains
jebni,cheese
jeddu,grandpa
jediid,new
jediidi,new
jedou,jedou
jeld,leather
jemli,sentence
jenoub,south
jeser,bridge
jeze2,part
jiib,get
jiibi,get
tanoura,skirt
jupe,skirt
kabout,coat
kaemel,complete
kaemeli,complete
kaetb,writer
kaetbi,writer
kaeteb,author
kalb,dog
kam,how much
2edaiish,how much
kamaen,also
kamaena,furthermore
kariim,generous
kariimi,generous
kazdoura,trip
kbiir,big
kel marra,everytime
kel shi,everything
kel,all
elkel,all
kelmi,word
kelna sawa,all of us together
kersi,chair
kezbi,lie
kezbi baiida,lie
kezbi sawda,lie
kibaiiyi,cup
kiif,how
kil maeshi wo etaeni,every now and then
ktaeb,book
ktiir,a lot
l,for
la,for
le,why
la shou,for what
La2,No
la2iim,mean person
la2iimi,mean person
la2iini 3al,meet me at the
la7aalu,by himself
la7aala,by himself
la7aem,butcher
la77am,butcher
la7em,meat
la7za,moment
laezem,should
laiish,why
laik,look
laiki,look
lail,night
laili,a night
lamma,once
lawa7du,alone
lawa7da,alone
lawn,color
lebelaed,The Country
lebnaeni,Lebanese
lebnaeniiyi,Lebanese
lelasaf,sadly
letnaen,Both
lizaelk,so
ma 7adi,no one
Ma bi 2oulu,They do not say
ma fi,there is not
ma momken,no way
ma,no
ma shi,nothing
ma3,with
ma3a,with
ma3na,meaning
ma5raj,exit
ma7ata,station
maai,water
mad3ouk,worn out
mad3ouki,worn out
mad5al,entrance
maftou7,opened
maftou7a,opened
maiiyiet,dead
maiiyieti,dead
mayyet,dead
maile,side
majalli,magazine
majhour,famous
majhoura,famous
maktab,office
maktabi,library
maktoub,letter
mala2a,spoon
mama,mother
man5our,nose
men5ar,nose
manta2a,area
manta2a,region
manzar,view
manzar 7elou,nice view
mar7aba,hello
mar7ali,period
mariid,ill
mariida,ill
marra,woman
masa,evening
masaari,money
mash8oul,busy
manshafi,towel
mat3am,restaurant
mat7af,museum
mataar,airport
matal,example
matalan,for example
matba5,kitchen
maw3ad,appointment
me7ata,station
mediini,city
meftae7,key
mehazab,polite
mehazabi,polite
meliaen,full
meliaeni,full
men,from
men 5iilael,through
men elwaad7,it's clear
men meddi,from a while
men zamaen,from a while
menarfez,angry
menarfezi,angry
menarfez,angry from me
menarfezi meni,angry from me
menii7,good
menii7a,good
meraiiyi,mirror
merci,thank you
merci ktiir,thank you very much
mesakar,closed
mesakara,closed
mesh,not
mesh 2asdi haik,I don't mean that
mesh 8ariib,familiar
mesh she8elak,not your business
she8elik,your business
meshkel,problem
meshkeli,problem
mesiibi,crisis
meta,when
met2a5r,late
met2a5ra,late
meddi,a while
miin ma,whoever
miin,who
mistashfa,hospital
mitli mitlak,just like you
mitlik,just like you
mo5adaraat,drugs
mo8la2,shut
modares,teacher
moddaresi,teacher
moquette,carpet
motaer,engine
mou5atat,a plan
moudiir,boss
moudiira,boss
mowaten,citizen
mowateni,citizen
munaesebi,occasion
musii2a,music
na3am,yes
ai,yes
eh,yes
na7es,unluck
naase7,fat
naase7a,fat
nae3m,soft
ne3em,soft
nae3mi,soft
naeshef,dry
naeshefi,dry
natra,waiting
ne2en,because
nii2aesh,argument
ne2ash,argument
niihaiiyi,end
niizaam,order
nos,half
oronj,orange
pantalon,pants
pardon,excuse me
perruque,wig
piscine,pool
pliiz,please
ra2em,number
ra5iis,cheap
ra7a,pleasure
raas,head
raas bataata,potato
rasmi,drawing
re2ii2,thin
re2ii2i,thin
re5iis,cheap price
re5iisa,cheap price
re7li,journey
reb3 sae3a,quarter of an hour
redet fe3l,reaction
ref2a,friends
refii2,friend
refii2a,friend
rejael,man
rifa2,friends
riisaeli,message
riisaeli,note
riiyaada,sport
riiyaadi,sporty
rou7,go
rou7i,go
rusi,Russian
rusiiyi,Russian
sa2al,ask
sa2alt,ask
sa2ef,ceiling
sa2ef,roof
sha2fi,piece
sa7,correct
sa7en,plate
sa8iir,small
sa8iiri,small
saba7 el5aiir,Good morning
sabi,boy
sae3a,clock
saf,classroom
safar,travel
sahar,staying up late
sahel,flat land
sahra,late night party
saii2,bad
saiir,traffic
sajara,tree
salata,salad
samak,fish
sarii3,fast
sarii3a,fast
sarii3an,quickly
sawa,together
sekar,suger
sekiin,knife
semiik,thick
semiiki,thick
shmmael,north
seni,year
serae2,thief
serae2i,thief
sha3r,hair
sha5es,person
sha5tuura,boat
sha5tuura,ship
shaai,tea
shab,teen
sabiiyi,teen
shab,teen
sabiiyi,teen
shabaeb,teens
sabaaia,teens
shaer3,street
shaher,month
shakwa,complaint
shamsiiyi,umbrella
shanta,back pack
shanta,suitcase
share2,east
shariki,company
shawki,fork
she8el,business
she8el,job
she8el,work
shebaek,window
sheliimoni,straw
sheti,rain
shi,something
shibaek,window
shifet kiif,you see how it is
shifeti kiif,you see how it is
shmael,left
shouai,a bit
shou 3arafak,how do you know
shou 3arafik,how do you know
shou 3arafni,how do I know
shou fi,Whats up
shou lakaen,of course
shou mehazab,how polite
mehazabi,polite
Shou naase7,How fat
naase7a,an advice
shou ya3ni,What does that mean
shou,what
ai,what
kiif,what
shouai,a bit
sibaat,shoe
siiara,car
makana,device
siigaara,cigarette
sho2af,pieces
so3b,difficult
so3bi,difficult
so7i,healthy
sou2,market
sou2,store
sou2 el5edra,vegie market
souaat,sounds
souaat welaed,sounds of kids
soura,photo
soura 3anna,photo of
sout,sound
ta2iil,heavy
ta2iili,heavy
ta2iil,luxurious
ta2iili,luxurious
ta2riiban,almost
ta2riiban,approximatly
ta3baen,tired
ta3baeni,tired
ta3m,taste
ta3mi,taste
ta5et,bed
ta7et,below
tabii3i,normal
tabii3iiyi,normal
taeta,grandma
taeza,fresh
tafadal,take
tafadali,take
taiieb,Fine
taksi,taxi
tanjara,pot
tant,aunt
tarii2,road
tarii2 eraj3a,way back
tarii5,history
tawiil,long
tawiili,long
tawli,table
te5miin,perhaps
tefae7a,apple
teiaeb,clothes
tejrobi,experience
telamiiz,students
telefon,telephone
teliani,Italian
telianiiyi,Italian
telmiiz,student
telmiizi,student
temshaiiyi,a walk
terwii2a,breakfast
teslii7,repair
tiiara,airplane
tiijaara,trade
tnaen,two
toailet,bathroom
tofol,baby
vacances,vacation
vaen,van
viitaes,stick
w3adtak,I promised you
w3adtik,I promised you
w3adtni,You promised me
w3adtini,You promised me
wa,and
wa2ta,back then
wa3d,promise
wa3i,awake
wa3yi,awake
waad7,clear
waad7a,clear
wae3i,awake
wae3iiyi,awake
waese3,wide
waiin etoailet pliiz,where is the bathroom please
waiin,where
waja3,pain
waja3 raas,headache
waja3 zala3iim,sore throat
walad,child
walaeken,but
war2,papers
war2a,paper
wara,behind
wardi,flower
wasfi,prescription
wasfi men edoctoor,prescription from the doctor
watan,nation
wej,face
welaed,kids
wesl,arrived
weslt,arrived
wo2eza,So what
ya 7aram,pity
7aram,pity
ya te3tiiri,how terrible
Yalla kol,Eat Up
keli,Eat Up
kelo,Eat Up
yamiin,right
yefrosh,to furnish
tefrosh,to furnish
yii,oh no
youm,day
za7met saiir,traffic conjestion
zaewiyi,corner
zaha2,bordom
zaha2aen,bored
zaha2aeni,bored
zaiit,oil
zaka,knowlegde
zakerni,remind me
zakriini,remind me
zaki,clever
zakiiyi,clever
zaki,smart
zakiiyi,smart
zal3oum,throat
zaman,era
zawaej,marriage
zawj,husband
zawj,pair
zebdi,butter
zet elshi,same thing
ziaara,a visit
ziiaara,a visit
